miliYAChe.|	miliYAChe.|,NP,0,0,n,n#
si~NgApura-saha	si~NgApura-saha,NP,0,0,n,n#
rAjyAYana	rAjyAYana,NP,0,0,n,n#
gyrAsileriYA	gyrAsileriYA,NP,0,0,n,n#
?ATrosiTi.N	?ATrosiTi.N,NP,0,0,n,n#
jyotikea	jyotikea,NP,0,0,n,n#
sukhasbAchChandyera	sukhasbAchChandyera,NP,0,0,n,n#
khu.NuTii	khu.NuTii,NP,0,0,n,n#
tAYa'a	tAYa'a,NP,0,0,n,n#
nRRityAnuShThAna-saba	nRRityAnuShThAna-saba,NP,0,0,n,n#
raYaTAYa	raYa,NC,sg,loc,y,n#raYa,NV,loc,y,n#
smAithera	smAithera,NP,0,0,n,n#
prANaspandana	prANaspandana,NP,sg,0,n,n#prANaspandana,NC,sg,0,n,n#prANaspandana,NV,0,n,n#
tapobanaTi	tapobanaTi,NP,0,0,n,n#
lakAtA	lakAtA,NP,0,0,n,n#
emporiYAmera	emporiYAmera,NP,0,0,n,n#
syute	syute,NP,0,0,n,n#
sa.ngopane	sa.ngopane,JQ,n,n,nnm#sa.ngopane,JJ,n,n#sa.ngopana,NP,sg,0,n,n#sa.ngopana,NC,sg,0,n,n#sa.ngopana,NV,0,n,n#
'dhAnabAda	'dhAnabAda,NP,0,0,n,n#
shrenIdera	shrenIdera,NP,0,0,n,n#
pakSha!a'a	pakSha!a'a,NP,0,0,n,n#
mAttara	mAttara,NP,0,0,n,n#
khu.Dashbashurake	khu.Dashbashura,NC,sg,acc,n,n#khu.Dashbashura,NV,acc,n,n#
rAShTriniYantrita	rAShTriniYantrita,NP,0,0,n,n#
sarasbatIdebIke	sarasbatIdebIke,NP,0,0,n,n#
kenduhADihi	kenduhADihi,NP,0,0,n,n#
bisphoraNeri	bisphoraNeri,NP,0,0,n,n#
khAchChila.'	khAchChila.',NP,0,0,n,n#
dhAraNAa-a-	dhAraNAa-a-,NP,0,0,n,n#
kAllubhApukkAla	kAllubhApukkAla,NP,0,0,n,n#
rAstAgulio	rAstA,NC,pl,0,y,n#rAstA,NV,0,y,n#
sTeshanakeo	sTeshana,NC,sg,acc,n,n#sTeshana,NP,sg,acc,n,n#sTeshana,NV,acc,n,n#
gInasabArga	gInasabArga,NP,0,0,n,n#
kartabyanItike	kartabyanItike,NP,0,0,n,n#
traYodashatama	traYodashatama,NP,0,0,n,n#
bi.Ndhato	bi.Ndha,NV,0,n,n#bi.Ndha,NP,sg,0,n,n#bi.Ndha,NC,sg,0,n,n#
AinajIbIa-rAjanItikera	AinajIbIa-rAjanItikera,NP,0,0,n,n#
ea-baiYera	ea-baiYera,NP,0,0,n,n#
jhA.NjhA.Na-Ya	jhA.NjhA.Na-Ya,NP,0,0,n,n#
bimAnabAhinIte	bimAnabAhinI,NC,sg,loc,n,n#bimAnabAhinI,NV,loc,n,n#
haia-a-	haia-a-,NP,0,0,n,n#
shilpIjIbana	shilpIjIbana,NP,0,0,n,n#
aphisArakei	aphisAra,NC,sg,acc,n,n#aphisAra,NP,sg,acc,n,n#aphisAra,NV,acc,n,n#
niurolajite	niurolajite,NP,0,0,n,n#
ijelera	ijelera,NP,0,0,n,n#
nagara-berubA.Di	nagara-berubA.Di,NP,0,0,n,n#
krIpas	krIpas,NP,0,0,n,n#
pAkarAjeshbara	pAkarAjeshbara,NP,0,0,n,n#
halo.'	halo.',NP,0,0,n,n#
Aiephaea-mohanabAgAna	Aiephaea-mohanabAgAna,NP,0,0,n,n#
khanera	khana,NC,sg,gen,n,n#khana,NV,gen,n,n#khana,NP,sg,gen,n,n#
iunAiTeDakea	iunAiTeDakea,NP,0,0,n,n#
saprasha.nsa	saprasha.nsa,NP,0,0,n,n#
abhinaYaTAi	abhinaYaTAi,NP,0,0,n,n#
alaukikai	alaukikai,NP,0,0,n,n#
mUraheDa	mUraheDa,NP,0,0,n,n#
sbAYoshAsanera	sbAYoshAsanera,NP,0,0,n,n#
e½Ti	e½Ti,NP,0,0,n,n#
kha.Dagapurei	kha.Dagapurei,NP,0,0,n,n#
aphisa-kartAdera	aphisa-kartAdera,NP,0,0,n,n#
dashatalAra	dashatalAra,NP,0,0,n,n#
bhela-i	bhela-i,NP,0,0,n,n#
yAtrIa-hA~NgAmA	yAtrIa-hA~NgAmA,NP,0,0,n,n#
kathAa-kabitAa-gAnera	kathAa-kabitAa-gAnera,NP,0,0,n,n#
bhAoYAla-kUmAra	bhAoYAla-kUmAra,NP,0,0,n,n#
nAgAthona-ea	nAgAthona-ea,NP,0,0,n,n#
neTaoYarka	neTaoYarka,NP,0,0,n,n#
'sanat	'sanat,NP,0,0,n,n#
pAitei	pAi,NC,0,loc,n,n#pAi,NV,loc,n,n#
bhAiDia	bhAiDia,NP,0,0,n,n#
shashIbhUShaNa	shashIbhUShaNa,NP,0,0,n,n#
rAja.DAo	rAja.DA,NV,0,n,n#rAja.DA,NC,0,0,n,n#rAja.DA,NP,0,0,n,n#
dhAndAYa	dhAndA,NV,0,n,n#dhAndA,NC,sg,0,n,n#
jamidAriTAi	jamidAriTAi,NP,0,0,n,n#
nabara~Ngapure	nabara~Ngapure,NP,0,0,n,n#
AlasAmendira	AlasAmendira,NP,0,0,n,n#
charchArao	charchArao,NP,0,0,n,n#
phArAka.'	phArAka.',NP,0,0,n,n#
bhoTara~Nga.a.a	bhoTara~Nga.a.a,NP,0,0,n,n#
byAreToa-bhAichu.na-ekeke	byAreToa-bhAichu.na-ekeke,NP,0,0,n,n#
yogalakara-era	yogalakara-era,NP,0,0,n,n#
duHshalAra	duHshalAra,NP,0,0,n,n#
bAioYArDa	bAioYArDa,NP,0,0,n,n#
rogIri	rogIri,NP,0,0,n,n#
sarbabhAratIYa'a	sarbabhAratIYa'a,NP,0,0,n,n#
bAghamuNDia	bAghamuNDia,NP,0,0,n,n#
lAlabarNera	lAlabarNera,NP,0,0,n,n#
?AkTi.n	?AkTi.n,NP,0,0,n,n#
yYAnatAniYa	yYAnatAniYa,NP,0,0,n,n#
hArAboi	hArAboi,NP,0,0,n,n#
Tene	TAnA,VAUX,2,prs,prg,dcl,fin,n,n,n#TAnA,VM,3,prs,sim,dcl,nfn,n,n,n#TAnA,LV,n#TAnA,LC,n,0#TAnA,VAUX,3,prs,sim,dcl,nfn,n,n,n#TAnA,VM,2,prs,prg,dcl,fin,n,n,n#
sa.nshodhanIa-prastAba	sa.nshodhanIa-prastAba,NP,0,0,n,n#
'sbachakShe	'sbachakShe,NP,0,0,n,n#
yea-bhita	yea-bhita,NP,0,0,n,n#
eShaNApreraNA	eShaNApreraNA,NP,0,0,n,n#
dA.N.DAlahATa	dA.N.DAlahATa,NP,0,0,n,n#
nyAchArAliShTa	nyAchArAliShTa,NP,0,0,n,n#
basamAna	basamAna,NP,0,0,n,n#
ka.Dorapatia	ka.Dorapatia,NP,0,0,n,n#
kharatApe	kharatApe,NP,0,0,n,n#
bhUterO	bhUterO,NP,0,0,n,n#
hu³kAre	hu³kAre,NP,0,0,n,n#
tulera	tula,NP,sg,gen,n,n#tula,NC,sg,gen,n,n#tula,NV,gen,n,n#
basAnoTAi	basAnoTAi,NP,0,0,n,n#
hAuiYera	hAui,NV,0,n,n#hAui,NP,sg,0,n,n#hAui,NC,sg,0,n,n#
dAbibijepia'ra	dAbibijepia'ra,NP,0,0,n,n#
ArdratAa	ArdratAa,NP,0,0,n,n#
malathasa	malathasa,NP,0,0,n,n#
nirdeshanAmATi	nirdeshanAmATi,NP,0,0,n,n#
raphAo	raphA,NV,0,n,n#raphA,NP,0,0,n,n#raphA,NC,0,0,n,n#
bidyuta-bichChinna	bidyuta-bichChinna,NP,0,0,n,n#
epha-sebhena	epha-sebhena,NP,0,0,n,n#
kArAbAsa	kArAbAsa,NC,sg,0,n,n#kArAbAsa,NV,0,n,n#kArAbAsa,NP,sg,0,n,n#
goYendAsUtra	goYendAsUtra,NP,0,0,n,n#
chorAkuTharite	chorAkuTharite,NP,0,0,n,n#
sharathRRidaYa	sharathRRidaYa,NP,0,0,n,n#
loTAchChe	loTAno,VM,3,prs,prg,dcl,fin,n,n,n#loTAno,VAUX,3,prs,prg,dcl,fin,n,n,n#
sAbasTeshanake	sAbasTeshanake,NP,0,0,n,n#
kalpitagarta	kalpitagarta,NP,0,0,n,n#
bechaChi	bechA,VM,1,prs,prg,dcl,fin,n,n,n#bechA,VAUX,1,prs,prg,dcl,fin,n,n,n#
bideshIrA	bideshIrA,NP,0,0,n,n#
karAa-haleo	karAa-haleo,NP,0,0,n,n#
hoYAi	hoYAi,NP,0,0,n,n#
bhIShmadebera	bhIShmadebera,NP,0,0,n,n#
brichaloDAra	brichaloDAra,NP,0,0,n,n#
anusRRiti	anusRRiti,NP,sg,0,n,n#anusRRiti,NC,sg,0,n,n#anusRRiti,NV,0,n,n#
nAjidula	nAjidula,NP,0,0,n,n#
bidrehI	bidrehI,NP,0,0,n,n#
shaurIi	shaurIi,NP,0,0,n,n#
mantrANAlaYera	mantrANAlaYera,NP,0,0,n,n#
niketane	niketana,NP,sg,0,n,n#niketana,NC,sg,0,n,n#niketana,NV,0,n,n#
shilpabisheShaj~na	shilpabisheShaj~na,NP,0,0,n,n#
bAtAbaraNeo	bAtAbaraNa,NC,0,0,n,n#bAtAbaraNa,NP,0,0,n,n#bAtAbaraNa,NV,0,n,n#
ayodhyAa-baiThaka	ayodhyAa-baiThaka,NP,0,0,n,n#
apisAradera	apisAradera,NP,0,0,n,n#
matAdi	matAdi,NP,0,0,n,n#
ChiH	ChiH,NP,0,0,n,n#
lyAnthAnAiDa	lyAnthAnAiDa,NP,0,0,n,n#
homoa'a	homoa'a,NP,0,0,n,n#
eDsa-birodhI	eDsa-birodhI,NP,0,0,n,n#
chalea'a'a-a-	chalea'a'a-a-,NP,0,0,n,n#
sAheba-bibirAo	sAheba-bibirAo,NP,0,0,n,n#
pracheShTA	pracheShTA,NP,sg,0,n,n#pracheShTA,NC,sg,0,n,n#pracheShTA,NV,0,n,n#
jalasarabarAha)a-o	jalasarabarAha)a-o,NP,0,0,n,n#
shIlAdia	shIlAdia,NP,0,0,n,n#
Alekhanira~njana	Alekhanira~njana,NP,0,0,n,n#
kUlati	kUlati,NP,0,0,n,n#
dbArapAla	dbArapAla,NP,sg,0,n,n#dbArapAla,NC,sg,0,n,n#dbArapAla,NV,0,n,n#
chAlakaTi	chAlakaTi,NP,0,0,n,n#
kAure	kAura,NV,0,n,n#kAura,NP,sg,0,n,n#kAura,NC,sg,0,n,n#
yYAoYAranesera	yYAoYAranesera,NP,0,0,n,n#
daYAa-	daYAa-,NP,0,0,n,n#
sthUlatbera	sthUlatba,NC,sg,gen,n,n#sthUlatba,NV,gen,n,n#sthUlatba,NP,sg,gen,n,n#
AbaddhatA	AbaddhatA,NV,0,n,n#AbaddhatA,NC,sg,0,n,n#AbaddhatA,NP,sg,0,n,n#
arthalagnikArI	arthalagnikArI,NP,0,0,n,n#
bishrutakAhinIa	bishrutakAhinIa,NP,0,0,n,n#
uTheChea-a-jelA	uTheChea-a-jelA,NP,0,0,n,n#
dAoa'a'a	dAoa'a'a,NP,0,0,n,n#
AgneYagiriguli	AgneYagiri,NC,pl,0,y,n#AgneYagiri,NV,0,y,n#
Anati	Anati,NV,0,n,n#Anati,NC,sg,0,n,n#Anati,NP,sg,0,n,n#
gairika	gairika,NC,sg,0,n,n#gairika,NV,0,n,n#gairika,NP,sg,0,n,n#
ka.ngresea	ka.ngresea,NP,0,0,n,n#
j~nAnadAsai	j~nAnadAsai,NP,0,0,n,n#
shikShAbido	shikShAbido,NP,0,0,n,n#
bAunsa'a-TA	bAunsa'a-TA,NP,0,0,n,n#
prabAsabAsa	prabAsabAsa,NP,0,0,n,n#
upAdhite	upAdhi,NV,loc,n,n#upAdhi,NC,sg,loc,n,n#
pi¬era	pi¬era,NP,0,0,n,n#
konaTAa?a	konaTAa?a,NP,0,0,n,n#
sea-sAdha	sea-sAdha,NP,0,0,n,n#
ekAkArera	ekAkArera,NP,0,0,n,n#
ibhAnAra	ibhAnAra,NP,0,0,n,n#
ekaShTa	ekaShTa,NP,0,0,n,n#
bahirbhAratera	bahirbhAratera,NP,0,0,n,n#
kanasenaTreshanera	kanasenaTreshanera,NP,0,0,n,n#
bA.nChA	bA.nChA,NV,0,n,n#bA.nChA,NP,sg,0,n,n#bA.nChA,NC,sg,0,n,n#
rA~NApanthI	rA~NApanthI,NP,0,0,n,n#
phephAra	phephAra,NP,0,0,n,n#
baksAiTa-samRRiddha	baksAiTa-samRRiddha,NP,0,0,n,n#
jainulake	jainulake,NP,0,0,n,n#
ephAjera	ephAjera,NP,0,0,n,n#
Ashia	Ashia,NP,0,0,n,n#
ja.DAj...Di	ja.DAj...Di,NP,0,0,n,n#
shasyea	shasyea,NP,0,0,n,n#
sandhAnIkAriNI	sandhAnIkAriNI,NP,0,0,n,n#
aphisAradera.'	aphisAradera.',NP,0,0,n,n#
akAlia-bijepia	akAlia-bijepia,NP,0,0,n,n#
sthirabhAbe	sthirabhAbe,NP,0,0,n,n#
bholTAse	bholTAse,NP,0,0,n,n#
yAtrAbhinetrI	yAtrAbhinetrI,NP,0,0,n,n#
praNababAburao	praNababAburao,NP,0,0,n,n#
keShTapuro	keShTapuro,NP,0,0,n,n#
achalAbasthAra	achalAbasthAra,NP,0,0,n,n#
inTAresTa-era	inTAresTa-era,NP,0,0,n,n#
hiseba-a-	hiseba-a-,NP,0,0,n,n#
rachanAbalitea-a-	rachanAbalitea-a-,NP,0,0,n,n#
Thikamatai	Thikamatai,NP,0,0,n,n#
hArenani	hArenani,NP,0,0,n,n#
ashlIlao	ashlIla,NV,0,n,n#ashlIla,NC,0,0,n,n#ashlIla,NP,0,0,n,n#
reYana	reYana,NP,0,0,n,n#
bhrAtRRihantAa	bhrAtRRihantAa,NP,0,0,n,n#
sAhArajo.DAa	sAhArajo.DAa,NP,0,0,n,n#
eji	eji,NV,0,n,n#eji,NP,sg,0,n,n#eji,NC,sg,0,n,n#
yea-harabhajanake	yea-harabhajanake,NP,0,0,n,n#
aparichatA	aparichatA,NP,0,0,n,n#
natunakAla	natunakAla,NP,0,0,n,n#
la.Dba	la.Dba,NP,0,0,n,n#
strIa-saha	strIa-saha,NP,0,0,n,n#
AbAhanI	AbAhanI,NP,sg,0,n,n#AbAhanI,JJ,n,n#AbAhanI,NV,0,n,n#AbAhanI,NC,sg,0,n,n#AbAhanI,JQ,n,n,nnm#
ChApAite	ChApAi,NC,sg,loc,n,n#ChApAi,NV,loc,n,n#
AkUtike	AkUti,NV,acc,n,n#AkUti,NC,sg,acc,n,n#AkUti,NP,sg,acc,n,n#
gaYanAa-TAkA	gaYanAa-TAkA,NP,0,0,n,n#
asbachChatAi	asbachChatAi,NP,0,0,n,n#
dhbanitattberi	dhbanitattberi,NP,0,0,n,n#
sAikelaTA	sAikela,NV,0,y,n#sAikela,NC,sg,0,y,n#
durgAmUrti	durgAmUrti,NP,0,0,n,n#
tAtpayapUrNa	tAtpayapUrNa,NP,0,0,n,n#
ryAli	ryAli,NP,0,0,n,n#
grahaNabarjane	grahaNabarjane,NP,0,0,n,n#
dauhitrara	dauhitrara,NP,0,0,n,n#
nirmmANa	nirmmANa,NP,0,0,n,n#
nirantana	nirantana,NP,0,0,n,n#
pAsora	pAsora,NP,0,0,n,n#
kathATukU	kathATukU,NP,0,0,n,n#
ta.Dba.De	ta.Dba.De,NP,0,0,n,n#
kIsea?a'a	kIsea?a'a,NP,0,0,n,n#
mulakia	mulakia,NP,0,0,n,n#
iuniTadhArIra	iuniTadhArIra,NP,0,0,n,n#
kolabAlishera	kolabAlisha,NV,gen,n,n#kolabAlisha,NP,sg,gen,n,n#kolabAlisha,NC,sg,gen,n,n#
deuliYAra	deuliYAra,NP,0,0,n,n#
'iTabhATAgulo	'iTabhATAgulo,NP,0,0,n,n#
sa~NgIta-nRRitya-Alekhya	sa~NgIta-nRRitya-Alekhya,NP,0,0,n,n#
go.DATA	go.DA,NC,sg,0,y,n#go.DA,NV,0,y,n#
sthAYIa-asthAYI	sthAYIa-asthAYI,NP,0,0,n,n#
TrAka-chAlakadera	TrAka-chAlakadera,NP,0,0,n,n#
bRRiddhachalama	bRRiddhachalama,NP,0,0,n,n#
bRRiddha-a-a'a'iYe	bRRiddha-a-a'a'iYe,NP,0,0,n,n#
niYamAbalIra	niYamAbalIra,NP,0,0,n,n#
chapalAdebIra	chapalAdebIra,NP,0,0,n,n#
hire	hire,NP,0,0,n,n#
kAYAsAdhanAa	kAYAsAdhanAa,NP,0,0,n,n#
misTrija	misTrija,NP,0,0,n,n#
shrIrAmakRRiShNapurera	shrIrAmakRRiShNapurera,NP,0,0,n,n#
nAa-khete	nAa-khete,NP,0,0,n,n#
bholAbhAlA	bholAbhAlA,NP,0,0,n,n#
sArAdeha	sArAdeha,NP,0,0,n,n#
athoriTAriYAna	athoriTAriYAna,NP,0,0,n,n#
pAkayantrera	pAkayantrera,NP,0,0,n,n#
supuri	supuri,NC,sg,0,n,n#supuri,NP,sg,0,n,n#supuri,NV,0,n,n#
gaNabhAipho.NTAra	gaNabhAipho.NTAra,NP,0,0,n,n#
ChArapokA	ChArapokA,NV,0,n,n#ChArapokA,NP,sg,0,n,n#ChArapokA,NC,sg,0,n,n#
sTeTameNTaTA	sTeTameNTaTA,NP,0,0,n,n#
jaYanagara	jaYanagara,NP,0,0,n,n#
?Apeka'a-era	?Apeka'a-era,NP,0,0,n,n#
sAmaYikatA	sAmaYikatA,NP,0,0,n,n#
dakShiNaba~Nga	dakShiNaba~Nga,NP,0,0,n,n#
de.DTAYa	de.DTAYa,NP,0,0,n,n#
santtaShTira	santtaShTira,NP,0,0,n,n#
gyAretha-era	gyAretha-era,NP,0,0,n,n#
sAmrAjyabAdi	sAmrAjyabAdi,NP,0,0,n,n#
semia-primiYAma	semia-primiYAma,NP,0,0,n,n#
nabhajyota	nabhajyota,NP,0,0,n,n#
pashchimapura	pashchimapura,NP,0,0,n,n#
'sAhitye	'sAhitye,NP,0,0,n,n#
gaNashaktira	gaNashakti,NP,sg,gen,n,n#gaNashakti,NV,gen,n,n#gaNashakti,NC,sg,gen,n,n#
bakhatera	bakhatera,NP,0,0,n,n#
samabaYesI	samabaYesI,NP,0,0,n,n#
hindurAa	hindurAa,NP,0,0,n,n#
pArisa	pArA,VAUX,2,prs,prg,dcl,fin,n,n,n#pArA,VAUX,2,prs,sim,dcl,fin,n,n,n#pArA,VM,2,prs,sim,dcl,fin,n,n,n#pArA,VM,2,prs,prg,dcl,fin,n,n,n#
chAlarsa	chAlarsa,NP,0,0,n,n#
premAshrU	premAshrU,NP,0,0,n,n#
chATTAna'a-e	chATTAna'a-e,NP,0,0,n,n#
ba.nshagopAlabAbuke	ba.nshagopAlabAbuke,NP,0,0,n,n#
niShkriYatAo	niShkriYatA,NC,0,0,n,n#niShkriYatA,NP,0,0,n,n#niShkriYatA,NV,0,n,n#
barmadeshe	barmadeshe,NP,0,0,n,n#
jAmAa-parA	jAmAa-parA,NP,0,0,n,n#
yYAthaleTikse	yYAthaleTikse,NP,0,0,n,n#
mAra-kATa-Aguna	mAra-kATa-Aguna,NP,0,0,n,n#
mohinI	mohinI,NC,sg,0,n,n#mohinI,NV,0,n,n#mohinI,NP,sg,0,n,n#mohinI,JQ,n,n,nnm#mohinI,JJ,n,n#
abasaliTa	abasaliTa,NP,0,0,n,n#
gA.DiYAla	gA.DiYAla,NP,0,0,n,n#
sikira	siki,NP,sg,gen,n,n#siki,NV,gen,n,n#siki,NC,sg,gen,n,n#
bhaktisa~NgItera	bhaktisa~NgItera,NP,0,0,n,n#
dalagulotei	dala,NC,pl,loc,y,n#dala,NV,loc,y,n#
pAkhia-shikAri	pAkhia-shikAri,NP,0,0,n,n#
sardArai	sardArai,NP,0,0,n,n#
neoYAri	neoYAri,NP,0,0,n,n#
bahugAmIa	bahugAmIa,NP,0,0,n,n#
byatikramaTAi	byatikramaTAi,NP,0,0,n,n#
asAntatyake	asAntatyake,NP,0,0,n,n#
DimbaprasU	DimbaprasU,NP,0,0,n,n#
bAnAma	bAnAma,NP,0,0,n,n#
emarera	emarera,NP,0,0,n,n#
jo.D	jo.D,NP,0,0,n,n#
jabaladakhala	jabaladakhala,NP,0,0,n,n#
jAYedi	jAYedi,NP,0,0,n,n#
hIrakadyuti	hIrakadyuti,NP,0,0,n,n#
charasRRiShTi	charasRRiShTi,NP,0,0,n,n#
snuTia	snuTia,NP,0,0,n,n#
baCharabyapI	baCharabyapI,NP,0,0,n,n#
ispAta-saha	ispAta-saha,NP,0,0,n,n#
medhAa-tAlikAteo	medhAa-tAlikAteo,NP,0,0,n,n#
o.DAbi	o.DAbi,NP,0,0,n,n#
leDira	leDi,NC,sg,gen,n,n#leDi,NV,gen,n,n#leDi,NP,sg,gen,n,n#
Akilesakea	Akilesakea,NP,0,0,n,n#
brigeDao	brigeDao,NP,0,0,n,n#
griNDaleje	griNDaleje,NP,0,0,n,n#
iYorope	iYorope,NP,0,0,n,n#
kebhahilera	kebhahilera,NP,0,0,n,n#
hireke	hireke,NP,0,0,n,n#
bidesha-sachiba	bidesha-sachiba,NP,0,0,n,n#
AYojana	AYojana,NC,sg,0,n,n#AYojana,NP,sg,0,n,n#AYojana,NV,0,n,n#
dua'Digri	dua'Digri,NP,0,0,n,n#
hastinIa	hastinIa,NP,0,0,n,n#
shibasAgara	shibasAgara,NP,0,0,n,n#
AlabhiToa-okororA	AlabhiToa-okororA,NP,0,0,n,n#
dua'goShThIra	dua'goShThIra,NP,0,0,n,n#
tAlibAnaderao	tAlibAnaderao,NP,0,0,n,n#
bRRittijIbIdera	bRRittijIbIdera,NP,0,0,n,n#
michelasana	michelasana,NP,0,0,n,n#
sa³kulAne	sa³kulAne,NP,0,0,n,n#
shubha³kara	shubha³kara,NP,0,0,n,n#
lAluji	lAluji,NP,0,0,n,n#
kaNTiniuDa	kaNTiniuDa,NP,0,0,n,n#
kalaguli	kala,NC,pl,0,y,n#kala,NV,0,y,n#
tinabAti	tinabAti,NP,0,0,n,n#
ghaShAmAjAra	ghaShAmAjA,NC,sg,gen,n,n#ghaShAmAjA,NV,gen,n,n#ghaShAmAjA,NP,sg,gen,n,n#
simaDa	simaDa,NP,0,0,n,n#
hAYAtera	hAYAtera,NP,0,0,n,n#
bismRRitaprAYa	bismRRitaprAYa,NP,0,0,n,n#
dhbanisamaShTite	dhbanisamaShTite,NP,0,0,n,n#
gAnabAjanAke	gAnabAjanAke,NP,0,0,n,n#
khu	khu,NP,0,0,n,n#
meshinaTula	meshinaTula,NP,0,0,n,n#
slatha	slatha,NP,0,0,n,n#
bhRRityamAtra	bhRRityamAtra,NP,0,0,n,n#
chikisaka	chikisaka,NP,0,0,n,n#
kanyAa'a-te	kanyAa'a-te,NP,0,0,n,n#
kalAbisheSha	kalAbisheSha,NP,0,0,n,n#
kU~njanasaraNa	kU~njanasaraNa,NP,0,0,n,n#
rAra	rA,NV,gen,n,n#rA,NP,sg,gen,n,n#rA,NC,sg,gen,n,n#
kothAa?a	kothAa?a,NP,0,0,n,n#
peja-nAbhrAtilobhA	peja-nAbhrAtilobhA,NP,0,0,n,n#
gadyarItii	gadyarItii,NP,0,0,n,n#
palisi	palisi,NP,0,0,n,n#
santtaShTia	santtaShTia,NP,0,0,n,n#
AshAbAdI	AshAbAdI,JJ,n,n#AshAbAdI,JQ,n,n,nnm#
rAjanaitika-sa.nskRRiti	rAjanaitika-sa.nskRRiti,NP,0,0,n,n#
dua-hAta	dua-hAta,NP,0,0,n,n#
'samAjabirodhIdera	'samAjabirodhIdera,NP,0,0,n,n#
skula-pa.DuYA	skula-pa.DuYA,NP,0,0,n,n#
sAmasira	sAmasira,NP,0,0,n,n#
smRRitia-kathAYa	smRRitia-kathAYa,NP,0,0,n,n#
mukhapatre	mukhapatra,NV,0,n,n#mukhapatra,NC,sg,0,n,n#mukhapatra,NP,sg,0,n,n#
pirAbhAia'a	pirAbhAia'a,NP,0,0,n,n#
kareChia!a'a	kareChia!a'a,NP,0,0,n,n#
rAttiraTA	rAttira,NV,0,y,n#rAttira,NC,sg,0,y,n#
pAriYA	pAriYA,NP,0,0,n,n#
kameDite	kameDite,NP,0,0,n,n#
shikShAa-sa~Nkochanera	shikShAa-sa~Nkochanera,NP,0,0,n,n#
shrImadbhagat	shrImadbhagat,NP,0,0,n,n#
Dipiela	Dipiela,NP,0,0,n,n#
byathA	byathA,NP,sg,0,n,n#byathA,NV,0,n,n#byathA,NC,sg,0,n,n#
jAramAni	jAramAni,NP,0,0,n,n#
utpAdakamaNDalI	utpAdakamaNDalI,NP,0,0,n,n#
hyAlo	hyAlo,NP,0,0,n,n#
shilpadhArAke	shilpadhArAke,NP,0,0,n,n#
mAa-rA	mAa-rA,NP,0,0,n,n#
bhA~Neni	bhA~Neni,NP,0,0,n,n#
pAThiYeChia	pAThiYeChia,NP,0,0,n,n#
deshakAla	deshakAla,NV,0,n,n#deshakAla,NC,sg,0,n,n#deshakAla,NP,sg,0,n,n#
udAharaNapradarshana	udAharaNapradarshana,NP,0,0,n,n#
barNa-bibhAgera	barNa-bibhAgera,NP,0,0,n,n#
maNirAmapure	maNirAmapure,NP,0,0,n,n#
bipAkakriYAYa	bipAkakriYAYa,NP,0,0,n,n#
spyAgATi	spyAgATi,NP,0,0,n,n#
parbatArohaNera	parbatArohaNa,NV,gen,n,n#parbatArohaNa,NP,sg,gen,n,n#parbatArohaNa,NC,sg,gen,n,n#
shartapUraNa	shartapUraNa,NP,0,0,n,n#
mAriYentesa	mAriYentesa,NP,0,0,n,n#
'ronAlDhoa-ribhAlDhora	'ronAlDhoa-ribhAlDhora,NP,0,0,n,n#
gAjibAbAa	gAjibAbAa,NP,0,0,n,n#
daNDadAna	daNDadAna,NP,0,0,n,n#
mukhyasachibakeo	mukhyasachibakeo,NP,0,0,n,n#
AYoga	AYoga,NP,sg,0,n,n#AYoga,NV,0,n,n#AYoga,NC,sg,0,n,n#
ki.nsTanera	ki.nsTanera,NP,0,0,n,n#
bhAijAga	bhAijAga,NP,0,0,n,n#
sAmaYikabhAbeo	sAmaYikabhAbeo,NP,0,0,n,n#
phUlaTase	phUlaTase,NP,0,0,n,n#
oYeia	oYeia,NP,0,0,n,n#
kaphike	kaphi,NV,acc,n,n#kaphi,NC,sg,acc,n,n#kaphi,NP,sg,acc,n,n#
sA.NAkoa!a'a	sA.NAkoa!a'a,NP,0,0,n,n#
paTAsha	paTAsha,NC,sg,0,n,n#paTAsha,NP,sg,0,n,n#paTAsha,NV,0,n,n#
saThika.'	saThika.',NP,0,0,n,n#
seNDa	seNDa,NP,0,0,n,n#
bhAShAchAryyadera	bhAShAchAryyadera,NP,0,0,n,n#
pAshchAtyabidyAra	pAshchAtyabidyAra,NP,0,0,n,n#
inaDipenaDenTa	inaDipenaDenTa,NP,0,0,n,n#
bAghaTAi	bAghaTAi,NP,0,0,n,n#
A~Nule	A~Nula,NC,sg,0,n,n#A~Nula,NV,0,n,n#A~Nula,NP,sg,0,n,n#
blyAkaAuTera	blyAkaAuTera,NP,0,0,n,n#
jurAnapurera	jurAnapurera,NP,0,0,n,n#
?AnAksAminesa	?AnAksAminesa,NP,0,0,n,n#
lipisamasyAra	lipisamasyAra,NP,0,0,n,n#
kUmAradhubi	kUmAradhubi,NP,0,0,n,n#
karanabAjAra	karanabAjAra,NP,0,0,n,n#
dhArai	dhArai,NP,0,0,n,n#
TATAnagara-rA.Nchi	TATAnagara-rA.Nchi,NP,0,0,n,n#
mujaphpharabAde	mujaphpharabAde,NP,0,0,n,n#
bhikShAra	bhikShA,NC,sg,gen,n,n#bhikShA,NV,gen,n,n#bhikShA,NP,sg,gen,n,n#
